Id,SalePrice
1461,133247.3260596085
1462,177941.32812731265
1463,201844.168923204
1464,215402.7396082858
1465,219088.18335269435
1466,191338.0222582285
1467,200416.97990417888
1468,178010.41277876313
1469,209332.88488525175
1470,133457.41015305428
1471,213150.25581098863
1472,111086.40516019822
1473,108925.82068594288
1474,171145.86794438265
1475,125872.59928537832
1476,350982.38019002345
1477,268031.4868414537
1478,282888.50811178004
1479,304402.6626153426
1480,462244.6545006292
1481,341052.8205468368
1482,223813.1651791578
1483,194744.9075917233
1484,176030.44348563338
1485,200078.7189107529
1486,210866.79224111617
1487,359876.54041604104
1488,261276.5300337321
1489,208465.94787827163
1490,239305.60132509988
1491,211163.80346344158
1492,110086.65628702588
1493,215629.39006884588
1494,325988.4699675292
1495,322079.3807980451
1496,245359.04110326932
1497,195727.19854414766
1498,174753.6271385693
1499,174064.8791220387
1500,162467.00870274904
1501,187449.81149223167
1502,159315.02192195068
1503,294622.8670536177
1504,259354.16882223793
1505,246722.06578897784
1506,223047.32817927888
1507,273687.6620888859
1508,231838.90912970077
1509,185730.80137986215
1510,160296.39711089642
1511,161758.04744380107
1512,193848.56217245574
1513,166552.8121649205
1514,187654.06079830276
1515,215294.70537803049
1516,177470.14530309683
1517,182791.83292897907
1518,153024.87928559893
1519,232098.81721142973
1520,140644.52117942472
1521,146671.13484452164
1522,202946.50049199077
1523,124198.15490778751
1524,136242.79997983802
1525,137152.5507645921
1526,134593.96342727926
1527,117059.62554457798
1528,158985.45782709855
1529,163383.33174678456
1530,204012.39852913492
1531,121638.21736752651
1532,109924.39886356767
1533,159241.34102722368
1534,144227.26904558664
1535,163120.33587141574
1536,119967.15868419474
1537,79910.57133228391
1538,183879.88529531332
1539,205156.40047211223
1540,115686.94457781753
1541,159105.73032165284
1542,152215.29336214272
1543,216226.0475089462
1544,96575.94579379522
1545,135595.3238695048
1546,147144.33888666102
1547,139664.11989605223
1548,153602.64616043365
1549,131060.18459753352
1550,149684.1646153674
1551,130233.97273848284
1552,149515.46409661032
1553,169066.4292126649
1554,132060.35767768958
1555,174694.39544340584
1556,101492.95015850762
1557,128082.86682068101
1558,113790.84001894984
1559,80543.50256497058
1560,150788.86348541157
1561,153017.9314614685
1562,138524.99622371484
1563,128928.69583311523
1564,173135.64682007662
1565,167949.01665362826
1566,258532.9793329357
1567,91439.14271393628
1568,246646.54307810782
1569,139375.69015610288
1570,146924.38130946207
1571,138240.21472403023
1572,157536.97734054376
1573,254759.28888362934
1574,133634.85880348907
1575,242579.3668006272
1576,264794.43222042266
1577,202763.65943112978
1578,165476.7703565773
1579,160932.7945488494
1580,220229.8744921101
1581,165564.76216566784
1582,138452.6825599268
1583,335183.9781891489
1584,237641.26263474344
1585,148952.61829159776
1586,79675.77841204347
1587,113502.74198571622
1588,160334.45426609548
1589,120786.70899944525
1590,153804.39483026217
1591,103447.06359939554
1592,129350.88643558022
1593,146618.4072516414
1594,140132.2520078522
1595,114152.47469395048
1596,253600.40543683694
1597,212276.81349174294
1598,237717.34005799354
1599,183624.4147883584
1600,182734.17818864607
1601,78813.34435558767
1602,131822.6082615561
1603,82658.26779899644
1604,262861.0769609439
1605,265989.14214173483
1606,193977.9832446704
1607,210264.44465378046
1608,233216.9140055496
1609,197888.5216895088
1610,162658.94538619881
1611,151104.27018513717
1612,176579.45440930527
1613,176889.4515234988
1614,131083.21117886572
1615,103872.23837556643
1616,88231.92419484525
1617,108633.16268273599
1618,135396.32202609075
1619,152256.49506224802
1620,176560.59041407212
1621,158803.63251961255
1622,153330.31812297652
1623,282815.0349155915
1624,236083.0631910133
1625,141408.30708098947
1626,194750.66309211246
1627,211829.7118545255
1628,290101.33565654827
1629,201800.36470133503
1630,360277.19026065664
1631,249380.9607538673
1632,266560.5682344021
1633,188604.66530990275
1634,204460.69786513387
1635,195617.9838901288
1636,171777.67453584372
1637,218607.61881363796
1638,219375.12758849325
1639,218542.34956081098
1640,282499.77681762236
1641,207384.47141300855
1642,241318.91986680543
1643,236518.01875071754
1644,249880.36604362165
1645,214229.55952347303
1646,179370.87058424554
1647,186899.16981610446
1648,144641.36351220365
1649,148270.10156947764
1650,135511.2864259314
1651,139941.58115508052
1652,112364.62273344747
1653,114495.96297297474
1654,168881.4390282877
1655,161864.277839483
1656,162664.89910823322
1657,169783.57690874027
1658,162400.16983258823
1659,136642.1906087336
1660,165135.01917641363
1661,408331.3961770524
1662,391666.8779468258
1663,370516.12114557315
1664,378701.90653721953
1665,294821.42936142045
1666,327911.51007022354
1667,380435.6219342202
1668,320558.4426122296
1669,293495.09184827044
1670,345520.60726426693
1671,281889.072534272
1672,429145.26671953243
1673,307866.2835495093
1674,268083.5342151852
1675,205384.3604879579
1676,203940.59013184425
1677,230328.6721134881
1678,448982.03817173355
1679,371045.4753015882
1680,311968.0177867183
1681,241926.50764058344
1682,312395.1645830857
1683,196907.4427609686
1684,191128.22554909962
1685,187389.93620052375
1686,182949.21872677142
1687,184120.42476203165
1688,208122.3806989593
1689,215295.73071743522
1690,215405.46557963273
1691,200561.0641137255
1692,282612.2977373289
1693,182855.14752001443
1694,202686.76020283415
1695,181444.08772512223
1696,304382.80793247576
1697,189301.98298892728
1698,381395.0702906034
1699,335627.6411447377
1700,266566.56051333045
1701,296105.34058234247
1702,264269.7515689832
1703,266970.91570973914
1704,295595.1692691222
1705,246168.57720671015
1706,383218.9301092691
1707,218523.71079593565
1708,220478.83824960463
1709,284790.0200106901
1710,236281.9253842693
1711,274459.3578661103
1712,280340.41697238514
1713,285788.92802915635
1714,245566.87146858923
1715,224811.47971100704
1716,202680.86806225195
1717,194394.5118991139
1718,155835.29799628298
1719,218286.35818277602
1720,258773.56021507326
1721,186560.49148882425
1722,139675.28835316692
