SalePrice,id
121841.02315205926,1461
156304.67654402996,1462
183085.36145612836,1463
197782.4091756555,1464
198654.60659491853,1465
171873.6349344268,1466
179091.2951762898,1467
161849.1504203568,1468
193233.2733955642,1469
120958.09895357973,1470
191941.99990078458,1471
99013.43205657494,1472
96983.72415763144,1473
148087.8672798395,1474
114853.82897628119,1475
364781.3420746542,1476
253249.02429330038,1477
293313.99356441014,1478
299403.3478059147,1479
495703.585689912,1480
330333.3148553466,1481
210589.63756843755,1482
179126.27594230417,1483
163386.73109340825,1484
186929.45553640914,1485
193088.08485159287,1486
343378.24092489993,1487
238588.2405928802,1488
195642.40965167573,1489
232983.59166600037,1490
195869.55508819947,1491
92382.53444925495,1492
185188.6453470633,1493
299334.11858169903,1494
295095.4708078371,1495
236243.78613100975,1496
181348.22181553306,1497
168280.40561365976,1498
161904.88973843606,1499
153151.13743625913,1500
174977.72316267499,1501
147787.83398449427,1502
295789.144247248,1503
242386.06786722125,1504
226998.6379685699,1505
194424.920557056,1506
249641.44871626145,1507
202688.40953945447,1508
164030.81584509043,1509
144634.63311798288,1510
150509.14338828358,1511
178775.87876890373,1512
147405.51703665333,1513
160583.97797585797,1514
193957.36485134476,1515
155192.6977237494,1516
169812.22592971026,1517
136521.66436579858,1518
210997.8393653084,1519
128582.94955707973,1520
131876.16295035603,1521
175889.98798737157,1522
111894.53001774155,1523
124410.60392787776,1524
122740.06969357103,1525
114607.81148463835,1526
106267.66628981479,1527
139939.6884225387,1528
151124.95275141578,1529
185279.40868998316,1530
103656.97801513034,1531
101077.46462656578,1532
147119.07318949216,1533
128988.15699677706,1534
149886.17015272842,1535
109053.7721668194,1536
63671.431113818595,1537
150916.19367386115,1538
188983.06966967776,1539
94593.23619806516,1540
141721.60132998633,1541
142072.15855075512,1542
192736.3035020371,1543
84894.9386536658,1544
116162.28178833838,1545
132450.59270261065,1546
126998.35197835496,1547
138614.53616021946,1548
120925.41923721814,1549
134674.39290488127,1550
110838.19365278227,1551
134634.77353415845,1552
154424.3463914605,1553
118586.27284446803,1554
158930.31227752447,1555
86343.49262600689,1556
109476.04609301347,1557
98945.19574646658,1558
64115.278444672054,1559
134067.8953207072,1560
131724.71358541877,1561
131092.21784440737,1562
118721.5154422388,1563
155726.17397726554,1564
151560.8662981789,1565
234970.05830075822,1566
76842.37683759537,1567
231591.52462599857,1568
130262.54030740395,1569
136347.81180463298,1570
121512.51607595399,1571
143990.46595876076,1572
240313.82771773898,1573
118286.52271428915,1574
227910.55370272405,1575
243283.51611964332,1576
183535.3314543734,1577
148386.5795918936,1578
146410.617230343,1579
197232.95244984017,1580
154419.7228400728,1581
126131.22158307614,1582
302688.29477667005,1583
216870.6015670556,1584
136849.48218793352,1585
71278.97558882675,1586
102506.41148895933,1587
151708.4002751095,1588
97083.90661273843,1589
133773.15912516206,1590
94252.44003716359,1591
114323.19780347668,1592
127220.49361776149,1593
126960.7367213329,1594
108746.68948850913,1595
226991.16369932744,1596
194250.48903316128,1597
224614.71099549378,1598
171666.31707553915,1599
163568.17360191612,1600
69983.454858339,1601
118436.68395232661,1602
69884.34066488271,1603
261656.85538574582,1604
244833.38685468675,1605
169776.68501974607,1606
180514.269771908,1607
214927.61698653025,1608
186064.111444783,1609
149324.84980791967,1610
137517.4547586437,1611
173324.4213750404,1612
163937.54430322495,1613
128105.36599907486,1614
96886.65574431274,1615
80508.58913029742,1616
97375.99719664054,1617
126997.49131100251,1618
140138.74329760106,1619
153681.7504601624,1620
140597.73598147128,1621
142580.5187391492,1622
263429.9456943919,1623
211422.58934371916,1624
122182.81378744633,1625
171305.03425715605,1626
192561.2248986528,1627
277897.442397097,1628
